ID,Type,Card Name,Category,Sem_Start,Sem_End,Cost_Time,Cost_Health,Cost_Study,Cost_Social,Cost_Money,Cost_Stress,Req_Prerequisite,Reward_Algo,Reward_POR,Reward_Res,Reward_Prod
OPP_001,POR,volunteer_anc,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_002,POR,secy_anc,POR,3,4,2,0,0,1,0,1,volunteer_anc,0,1,0,0
OPP_003,POR,coord_anc,POR,5,6,3,0,0,1,0,2,secy_anc,0,2,0,0
OPP_004,POR,head_anc,POR,7,8,4,0,0,2,0,2,coord_anc,0,2,0,0
OPP_005,POR,volunteer_gns,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_006,POR,secy_gns,POR,3,4,2,0,0,1,0,1,volunteer_gns,0,1,0,0
OPP_007,POR,coord_gns,POR,5,6,3,0,0,1,0,2,secy_gns,0,2,0,0
OPP_008,POR,head_gns,POR,7,8,4,0,0,2,0,2,coord_gns,0,2,0,0
OPP_009,POR,volunteer_mnc,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_010,POR,secy_mnc,POR,3,4,2,0,0,1,0,1,volunteer_mnc,0,1,0,0
OPP_011,POR,coord_mnc,POR,5,6,3,0,0,1,0,2,secy_mnc,0,2,0,0
OPP_012,POR,head_mnc,POR,7,8,4,0,0,2,0,2,coord_mnc,0,2,0,0
OPP_013,POR,volunteer_snt,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_014,POR,secy_snt,POR,3,4,2,0,0,1,0,1,volunteer_snt,0,1,0,0
OPP_015,POR,coord_snt,POR,5,6,3,0,0,1,0,2,secy_snt,0,2,0,0
OPP_016,POR,head_snt,POR,7,8,4,0,0,2,0,2,coord_snt,0,2,0,0
OPP_017,POR,volunteer_ecell,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
OPP_018,POR,secy_ecell,POR,3,4,2,0,0,1,0,1,volunteer_ecell,0,1,0,0
OPP_019,POR,head_ecell,POR,5,6,3,0,0,1,0,2,secy_ecell,0,2,0,0
OPP_020,POR,oc_ecell,POR,7,8,4,0,0,2,0,3,head_ecell,0,3,0,1
OPP_021,POR,volunteer_election_commission,POR,1,2,1,0,0,0,0,1,None,0,0,0,0
